    ,Item Type,Publication Year,Author,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Title,key,Abstract,doi url,Publication Title,ISBN,ISSN,DOI,Url,Date,Date Added,Date Modified,Pages,Begin Page,End Page,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Series,Publisher,Place,Language,Archive,Library Catalog,Extra,Notes,Publication Type 2,File Attachments,Manual Tags,Editor,Meeting Name,Meeting Location,Conference Name
EFKXNN4M,bookSection,1972,"Harris, James W.","Harris, James W.",,,,,,Five Classes of Irregular Verbs in Spanish,Five Classes Of Irregular Verbs In Spanish,"By traditional criteria, most Spanish verbs are ""regular."" With a few exceptions, the relatively small number of verbs called ""irregular"" can be grouped into several classes with common peculiarities. We shall be concered here with verbs that have irregular forms in the present indicateive and present subjunctive. No other paradigms will be considered, although some of the verbs studied here have other irregular forms. Among the questions we want to ask about these verbs are the following: To what extent are they idiosyncratic? That is, must their peculiartities simply be noted individually or group-by-group, or are there non-obvious regularities to be discovered? How do these verbs differ from ""regular"" verbs? To what can the irregularity be attributed, in each case, and how is the grammar affected by the existence of these irregularities? What light, if any, can study of these particular verbs shed on the nature of complex inflectional systems in general? From the outset, I would like to stress two points about this paper as a whole: One, it must be taken as a report on work in progress rather than as a finished product; two, it ends with a number of questions whose weight is considerably greater than that of the factual observations, rules, etc., which lead to these questions. I am quite sure that more study of the same and additional data will suggest ways of correcting many details, for example, in the rules given and their ordering, and of deepening the analysis. I am almost equally sure, however, that such modifications of detail will leave essentially unaltered the bearing this material has on certain fundamental questions that I attempt to bring into focus at the close of the paper. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305090&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,247-271,247,271,24,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,14,<p>Accession Number: 1979305090. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5090.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
JL7D6T9R,bookSection,1972,"Cressey, William W.","Cressey, William W.",,,,,,Irregular Verbs in Spanish,Irregular Verbs In Spanish,"In a generative phonology, a verb is considered irregular, not simply because its paradigm differs from that of other verbs, but only if the differences cannot be explained in terms of general principles of pronunciation of the language under analysis. For example, those verbs usually designated as ""radical changing verbs"" have been analyzed without recourse to special lexical markings both by Foley (1965b) and by Harris (1969b). Once these verbs, and certain others, have been disposed of, we are still left with a substantial number of verbs having irregular conjugations which must be accounted for in terms of exception features associated with their lexical entries. Naturally, whether or not a given verb requires a special marking in the lexicon is a function of the set of rules which are formulated for the analysis of the language in question. I will make the claim that, among those verbs which require special marking, given rules proposed in Harris (1969b), there is a large subset whose phonetic shapes can be explained, or at least partially explained, in terms of the informal concept of athematicity, that is, the absence of the theme vowel at a point in the derivation when it would normally be present.",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305087&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,236-246,236,246,10,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,8,<p>Accession Number: 1979305087. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5087.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
ASLFHN5A,bookSection,1972,"Hensey, Fritz G.","Hensey, Fritz G.",,,,,,Portuguese Vowel Alternation,Portuguese Vowel Alternation,"In Portuguese, vowel alternations of one type or another occur as regular and seemingly productive morphological processes. These alternations are analogous to processes found in other Romance languages and, like them, are consequences of the restructuring of the Vulgar Latin vowel system. On the other hand, the Portuguese alternations are of special interest because of their great regularity. As a result of their having become generalized in the grammar, Portuguese vowel alternations lend themselves to a much simpler description than do the analogous ones of Spanish, Italian, etc. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304982&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,285-292,285,292,7,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,9,<p>Accession Number: 1979304982. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4982.</p>,book article,,Portuguese language,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
HBT4SJHN,bookSection,1972,"Patterson, George W.","Patterson, George W.",,,,,,French Interrogatives: A Diachronic Problem,French Interrogatives: A Diachronic Problem,The traditional concept of analogy has been replaced by simplification or lexical restructuring in generative grammars. This paper will examine this replacement in respect to diachronic data from French. The central character of French interrogatives since at least the 12th century has been an inversion transformation. Many minor changes have occurred in the specific formulation of inversion and in an accompanying deletion transformation. A single recent modification challenges the generative interpretation of analogy.,,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304945&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,23-35,23,35,12,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,7,<p>Accession Number: 1979304945. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4945.</p>,book article,,language; French language; diachronic linguistics,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
PFMPHRZ5,bookSection,1972,"Paff, Toby","Paff, Toby",,,,,,Sentence Complements on Nouns,Sentence Complements On Nouns,"This paper concerns noun phrases which I will call the ""noun-complement"" construction, for example: ""Marie accepte le fait que Paul est arrivé."" Let us call the noun on which the complement depends, the ""head noun,"" for example, le fait. Let us call the phrase introduced by que, for example, que Paul est arrivé, the complement. The contention of this paper is that the complement is an ""appositive"" on the ""head noun,"" that is, the complement comes from an underlying non-restrictive relative clause of the form,  qui est que S, which modifies the head noun. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304944&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,127-138,127,138,11,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,0,<p>Accession Number: 1979304944. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4944.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
ILFCSCIR,bookSection,1972,"Langacker, Ronald W.","Langacker, Ronald W.",,,,,,French Interrogatives Revisited,French Interrogatives Revisited,"The analysis of French interrogatives that I proposed earlier (Langacker 1965 and 1966a) has recently been criticized in print by several writers, including Roulet (1969), Hirschbüler (1970), and Huddleston and Uren (1969). No doubt there are other criticisms, published and unpublished, that I am not aware of. It is not surprising that my analysis has been called into question; in its essentials, it dates back to 1963, a rather remote era in history of transformational grammar. I am only surprised that the criticisms have been so long coming and that there are not more of them. The analysis of French interrogatives is much more complex than on might initially expect, and it will be helpful to divide the discussion into several section, each pertaining to one facet of my original analysis. My purpose is not to argue that I have been right all along and my critics misguided -- on the contrary, many of their points are valid or potentially valid, and several aspects of the treatment of French qeustions are in serious doubt. Within each area, I will try to pose the major issues, summarize the arguments that have been presented, that the analysis of French interrgatives is tied up with more general theoretical issues. This entails that a definitive solution is probably not now possible, but it also greatly enhances the interest of working towards such a solution. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304924&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,36-69,36,69,33,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,0,<p>Accession Number: 1979304924. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4924.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
NH4DXKCG,bookSection,1972,"Kayne, Richard S.","Kayne, Richard S.",,,,,,Subject Inversion in French Interrogatives,Subject Inversion In French Interrogatives,"In section I, the author focuses on the inversion of subject NP and that of subject clitic must be described by means of two distrinct transformations. In section II, the author focuses on how the 'complex inversion' construction must be described in terms of an inversion transformation, the same as that pertinent to the simple inversion of the subject clitic, rather than in terms of a pronominal copy transformation. Finally, in section III, the author focuses on the origin and subsequent displacement of subject clitics, the unity of 'ce' and 'ça', the formalization of subject clitic inversion and some notes on subject clitics and coreference.",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304919&site=ehost-live,1972,10/1/19 20:59,10/17/19 16:11,70-126,70,126,56,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,259,<p>Accession Number: 1979304919. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4919.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
6M2UNNWX,bookSection,1972,"Brown, T. Grant","Brown, T. Grant",,,,,,Case Grammar and the Teaching of French,Case Grammar And The Teaching Of French,"Linguistic theory has been claimed to have a number of important implications for foreign language teaching. The strongest claim, proposed by structural linguistics during the development of the audiolingual method, was that theories of language structure should prescribe the methods and techniques for language teaching. A second, much weaker claim is that more adequate theories of language structure, which are capable of capturing generalizations with greater accuracy than earlier theories, may be used to provide improved text materials to help the learner to internalize these generalizations. Since the possibility of basing a pedagogical theory directly on lingusitic theory has been seriously question (Chomsky 1966), this paper will be limited to an investigatiopn of the application of one thoery of linguistic structure to French syntax and the use of the resulting generalizations in the classroom.",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304900&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,362-375,362,375,13,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,0,<p>Accession Number: 1979304900. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4900.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
K976IK66,bookSection,1972,"Schane, Sanford A.","Schane, Sanford A.",,,,,,How Abstract Is French Phonology?,How Abstract Is French Phonology?,"In what is perhaps the most celebrated recent unpublished paper, one that in the last couple years has certainly generated much phonological discussion, Paul Kiparsky (1968a) questioned the abstract nature of phonological representation. In response to his query: How abstract is phonology?, there have been several interesting papers dealing with exotic languages, some of which attempt to demonstrate the need for highly abstract phonological representations. In particular, these researchers show that their respective languages necessitate positing contrasting underlying segments which become totally neutralized at the surface level -- that is, in all environments of occurence, a situation of which Kiparsky was critical. As for the Romance languages, if we are to obtain interesting insights about the morphology, then we too will need highly abstract phonological representations. In support of this view I shall present data exclusively from French. I shall not be overly concerned with total neutralization, for which I cannot find in French a great deal of evidence either for or against abstractness. Instead, I shall maintain that for Romance it is primarily the relationship between the nonlearned and the learned vocabulary which necessitates abstract representations. This peculiarity of Romance is of course due to the fact that much of both lexical strata historically have the same source -- Latin. In this presentation, I shall try to accomplish two goals: (1) to give some idea of the abstractness of contemporary French, and (2) to suggest how such a system was able to evolve historically. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304849&site=ehost-live,1972,10/1/19 20:59,10/17/19 16:14,340-352,340,352,12,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,8,<p>Accession Number: 1979304849. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4849.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
ECR53W9J,bookSection,1972,"Casagrande, Jean","Casagrande, Jean",,,,,,Syntactic Studies in Romance,Syntactic Studies In Romance,"The purpose of this paper is to serve as introduction to the syntactic contributions in this volume by outlining the development of syntactic studies in the Romance languages within the theoretical framework of this anthology. This paper will consist of two parts. In the first part I will sketch the chronological development of generative grammar, distinguishing between three stages: transformational baroque, classical transformational grammar, and the neo-classical period. This first part will constitute the substantial and prganizational portion of the paper. In the second part of the paper the stiutation in generative Romance syntax will be examined.",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304504&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,1-22,1,22,21,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,0,<p>Accession Number: 1979304504. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4504.</p>,book article,,bibliography; Pre-Romance languages; history of linguistics,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
JCTWVCKF,bookSection,1972,"Saciauk, Bohdan","Saciauk, Bohdan",,,,,,Phonological Studies in Romance,Phonological Studies In Romance,"This paper summarizes the evolution of Romance phonology by dividing the paper into 5 sections: pre-1965, 1965, 1966-1969, Recent Work, and The Future, and discussing notable works in each era. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304501&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,215-224,215,224,9,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,0,<p>Accession Number: 1979304501. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4501.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
GJGRM4S5,bookSection,1972,"Wang, Mary Clayton","Wang, Mary Clayton",,,,,,What Stops a Sound Change?,What Stops A Sound Change?,"Is the productive or non-productive status of a phonological process represented in the synchronic generative phonology? I hope to show that it is, and to explore the possible implications for generative phonology of the distrinction between living and non-living phonological processes. My claim is that only those sound changes which correspond to last rules in the synchronic grammar can be productive, and that just these must be productive. That is to say, when a phonological process ceases to be active in the language, the corresponding rule has lost its last-rule status in the grammar. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979304449&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,277-284,277,284,7,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,0,<p>Accession Number: 1979304449. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-4449.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
